Time,Pressure (10^-12 Pa)
10:11,31
10:13,5
10:16,81
10:19,9
10:22,50
10:25,80
10:28,65
10:31,93
10:34,84
10:36,52
10:39,41
10:42,39
10:45,9
10:48,52
10:51,75
10:54,38
10:57,23
10:59,82
11:02,80
11:05,86
11:08,84
11:11,53
11:14,1
11:17,45
11:20,79
11:23,75
11:25,72
11:28,50
11:31,84
11:34,20
11:37,20
11:40,64
11:43,45
11:46,65
11:48,64
11:51,55
11:54,65
11:57,82
12:00,33
12:03,55
12:06,80
12:09,15
12:11,27
12:14,32
12:17,49
12:20,97
12:23,45
12:26,54
12:29,2
12:32,23
12:35,2
12:37,49
12:40,3
12:43,13
12:46,91
12:49,100
12:52,37
12:55,77
12:58,35
13:00,54
13:03,10
13:06,48
13:09,39
13:12,35
13:15,12
13:18,63
13:21,83
13:23,46
13:26,28
13:29,3
13:32,88
13:35,40
13:38,68
13:41,25
13:44,78
13:47,21
13:49,31
13:52,56
13:55,32
13:58,99
14:01,39
14:04,18
14:07,58
14:10,81
14:12,48
14:15,26
14:18,40
14:21,7
14:24,19
14:27,83
14:30,1
14:33,2
14:35,53
14:38,38
14:41,75
14:44,24
14:47,50
14:50,49
14:53,4
14:56,45
14:59,22
15:01,37
15:04,98
15:07,33
15:10,69
15:13,53
15:16,95
15:19,24
15:22,79
15:24,41
15:27,16
15:30,1
15:33,27
15:36,77
15:39,40
15:42,44
15:45,52
15:47,63
15:50,72
15:53,44
15:56,69
15:59,91
16:02,30
16:05,64
16:08,75
16:11,62
16:13,37
16:16,52
16:19,65
16:22,80
16:25,57
16:28,65
16:31,1
16:34,64
16:36,19
16:39,15
16:42,4
16:45,51
16:48,93
16:51,44
16:54,4
16:57,97
16:59,47
17:02,40
17:05,16
17:08,14
17:11,15
17:14,82
17:17,93
17:20,84
17:23,66
17:25,10
17:28,32
17:31,98
17:34,92
17:37,16
17:40,67
17:43,10
17:46,100
17:48,18
17:51,91
17:54,53
17:57,2
18:00,14
18:03,11
18:06,94
18:09,16
18:11,54
18:14,64
18:17,41
18:20,49
18:23,27
18:26,25
18:29,43
18:32,13
18:35,92
18:37,12
18:40,16
18:43,65
18:46,9
18:49,81
18:52,4
18:55,82
18:58,83
19:00,74
19:03,74
19:06,56
19:09,23
19:12,58
19:15,66
19:18,65
19:21,80
19:23,46
19:26,86
19:29,63
19:32,69
19:35,89
19:38,1
19:41,85
19:44,95
19:47,1
19:49,36
19:52,26
19:55,88
19:58,83
20:01,31
20:04,6
20:07,5
20:10,76
20:12,98
20:15,72
20:18,91
20:21,15
20:24,52
20:27,89
20:30,8
20:33,72
20:35,45
20:38,74
20:41,12
20:44,28
20:47,3
20:50,100
20:53,42
20:56,90
20:59,11
21:01,17
21:04,20
21:07,24
21:10,50
21:13,84
21:16,32
21:19,86
21:22,45
21:24,31
21:27,92
21:30,93
21:33,15
21:36,6
21:39,66
21:42,73
21:45,13
21:47,55
21:50,33
21:53,48
21:56,83
21:59,61
22:02,40
22:05,3
22:08,52
22:11,34
22:13,39
22:16,79
22:19,22
22:22,76
22:25,49
22:28,49
22:31,80
22:34,63
22:36,1
22:39,17
22:42,2
22:45,8
22:48,19
22:51,39
22:54,87
22:57,21
22:59,45
23:02,19
23:05,69
23:08,21
23:11,62
23:14,60
23:17,66
23:20,8
23:23,54
23:25,88
23:28,14
23:31,9
23:34,48
23:37,83
23:40,78
23:43,21
23:46,26
23:48,57
23:51,98
23:54,30
23:57,87
00:00,75
00:03,55
00:06,34
00:09,42
00:11,20
00:14,1
00:17,30
00:20,76
00:23,32
00:26,85
00:29,32
00:32,69
00:35,70
00:37,78
00:40,59
00:43,58
00:46,23
00:49,6
00:52,97
00:55,38
00:58,87
01:00,42
01:03,57
01:06,93
01:09,57
01:12,77
01:15,78
01:18,72
01:21,20
01:23,98
01:26,21
01:29,17
01:32,49
01:35,79
01:38,95
01:41,84
01:44,55
01:47,20
01:49,28
01:52,13
01:55,84
01:58,16
02:01,58
02:04,29
02:07,11
02:10,15
02:12,9
02:15,35
02:18,47
02:21,83
02:24,9
02:27,7
02:30,50
02:33,70
02:35,45
02:38,48
